delta,sim,method,coverage_overall,coverage_high_vol,coverage_low_vol
0.0,78,vol_scaling,0.828,0.976,0.68
0.0,79,standard,0.944,0.944,0.944
0.0,79,saci,0.92,0.896,0.944
0.0,79,vol_scaling,0.864,0.976,0.752
0.0,80,standard,0.864,0.896,0.832
0.0,80,saci,0.86,0.888,0.832
0.0,80,vol_scaling,0.8,0.984,0.616
0.0,81,standard,0.888,0.88,0.896
0.0,81,saci,0.88,0.864,0.896
0.0,81,vol_scaling,0.796,0.976,0.616
0.0,82,standard,0.94,0.952,0.928
0.0,82,saci,0.936,0.96,0.912
0.0,82,vol_scaling,0.852,0.976,0.728
0.0,83,standard,0.904,0.888,0.92
0.0,83,saci,0.904,0.88,0.928
0.0,83,vol_scaling,0.832,0.968,0.696
0.0,84,standard,0.936,0.936,0.936
0.0,84,saci,0.936,0.936,0.936
0.0,84,vol_scaling,0.856,0.984,0.728
0.0,85,standard,0.876,0.88,0.872
0.0,85,saci,0.892,0.872,0.912
0.0,85,vol_scaling,0.792,0.936,0.648
0.0,86,standard,0.912,0.896,0.928
0.0,86,saci,0.916,0.904,0.928
0.0,86,vol_scaling,0.856,0.968,0.744
0.0,87,standard,0.948,0.936,0.96
0.0,87,saci,0.944,0.928,0.96
0.0,87,vol_scaling,0.872,0.984,0.76
0.0,88,standard,0.868,0.84,0.896
0.0,88,saci,0.836,0.816,0.856
0.0,88,vol_scaling,0.828,0.96,0.696
0.0,89,standard,0.876,0.888,0.864
0.0,89,saci,0.868,0.872,0.864
0.0,89,vol_scaling,0.788,0.984,0.592
0.0,90,standard,0.912,0.912,0.912
0.0,90,saci,0.908,0.912,0.904
0.0,90,vol_scaling,0.832,0.976,0.688
0.0,91,standard,0.852,0.88,0.824
0.0,91,saci,0.856,0.88,0.832
0.0,91,vol_scaling,0.76,0.976,0.544
0.0,92,standard,0.952,0.952,0.952
0.0,92,saci,0.94,0.928,0.952
0.0,92,vol_scaling,0.888,0.992,0.784
0.0,93,standard,0.908,0.936,0.88
0.0,93,saci,0.904,0.936,0.872
0.0,93,vol_scaling,0.776,0.976,0.576
0.0,94,standard,0.912,0.888,0.936
0.0,94,saci,0.912,0.896,0.928
0.0,94,vol_scaling,0.86,1.0,0.72
0.0,95,standard,0.876,0.88,0.872
0.0,95,saci,0.872,0.872,0.872
0.0,95,vol_scaling,0.836,0.976,0.696
0.0,96,standard,0.908,0.896,0.92
0.0,96,saci,0.884,0.888,0.88
