method,lambda,beta,crowding_bin,covered,set_size,crowding,factor
crowding_weighted,1.0,,medium,1,1,0.5189138684269556,MKT
crowding_weighted,1.0,,high,1,1,0.6334696634210449,MKT
crowding_weighted,1.0,,high,1,1,0.5742218372497473,MKT
crowding_weighted,1.0,,high,1,1,0.652215127494034,MKT
crowding_weighted,1.0,,high,1,2,0.8132517216917011,MKT
crowding_weighted,2.0,,low,1,1,0.2964561605553757,MKT
crowding_weighted,2.0,,low,1,1,0.2918212395034469,MKT
crowding_weighted,2.0,,low,0,0,0.12160531393286161,MKT
crowding_weighted,2.0,,low,0,0,0.23148046538709285,MKT
crowding_weighted,2.0,,low,1,1,0.23691059563077707,MKT
crowding_weighted,2.0,,medium,1,1,0.47400269561465724,MKT
crowding_weighted,2.0,,medium,1,1,0.4970307148059514,MKT
crowding_weighted,2.0,,medium,1,1,0.5189138684269556,MKT
crowding_weighted,2.0,,high,1,2,0.6334696634210449,MKT
crowding_weighted,2.0,,high,1,1,0.5742218372497473,MKT
crowding_weighted,2.0,,high,1,1,0.652215127494034,MKT
crowding_weighted,2.0,,high,1,2,0.8132517216917011,MKT
crowding_weighted,5.0,,low,1,1,0.2964561605553757,MKT
crowding_weighted,5.0,,low,1,1,0.2918212395034469,MKT
crowding_weighted,5.0,,low,0,0,0.12160531393286161,MKT
crowding_weighted,5.0,,low,0,0,0.23148046538709285,MKT
crowding_weighted,5.0,,low,1,1,0.23691059563077707,MKT
crowding_weighted,5.0,,medium,1,2,0.47400269561465724,MKT
crowding_weighted,5.0,,medium,1,1,0.4970307148059514,MKT
crowding_weighted,5.0,,medium,1,1,0.5189138684269556,MKT
crowding_weighted,5.0,,high,1,2,0.6334696634210449,MKT
crowding_weighted,5.0,,high,1,2,0.5742218372497473,MKT
crowding_weighted,5.0,,high,1,2,0.652215127494034,MKT
crowding_weighted,5.0,,high,1,2,0.8132517216917011,MKT
cao,,0.25,low,1,1,0.2964561605553757,MKT
cao,,0.25,low,1,1,0.2918212395034469,MKT
